Online Post Id,Related Online Post Id,Source Id,Source Name,Online Post,Sentiment Polarity,Sentiment Polarity Intensity,Emotion (6-level),Emotion (8-level),Sarcasm/Irony,Negation,Off-topic,Maltese
15,,SNS-1,Twitter,ONE b’xandira speċjali għall-Budget 2018,Neutral,Neutral,Happiness,Trust,0,0,0,1
16,,SNS-1,Twitter,Malta Budget 2018 - follow our live feed this evening,Neutral,Neutral,Happiness,Anticipation,0,0,0,0
17,,SNS-1,Twitter,"Budget 2018 dirett fuq TVM, Radju Malta u http://tvm.com.mt  - https://www.tvm.com.mt/mt/news/budget-2018-dirett-fuq-tvm-radju-malta-u-tvm-com-mt/ …",Neutral,Neutral,Happiness,Anticipation,0,0,0,1
18,,SNS-1,Twitter,Follow us on @KPMG_Malta for live updates of the Malta Budget 2018. #MaltaBudget18,Neutral,Neutral,Happiness,Anticipation,0,0,0,0
19,,SNS-1,Twitter,"http://independent.com.mt : Budget 2018 for a ‘common, brighter future’ – PM",Positive,Very Positive,Happiness,Trust,0,0,0,0
20,,SNS-1,Twitter,"Watch Budget 2018 live, together with minute-by-minute updates and preliminary reactions #MaltaBudget18",Neutral,Neutral,Happiness,Anticipation,0,0,0,0
21,,SNS-1,Twitter,Follow us for live updates as Minister @edward_scicluna presents Malta's budget for 2018 this evening. #MaltaBudget18,Neutral,Neutral,Happiness,Anticipation,0,0,0,0
22,,SNS-1,Twitter,Follow the Malta Budget 2018 live link on our website http://www.ksimalta.com/en/malta-budget-2018 …,Neutral,Neutral,Happiness,Anticipation,0,0,0,0
23,,SNS-1,Twitter,"Malta is heading to a third tax on soft drinks. Excise duty, eco tax and now a deposit on plastic bottles #budget2018",Negative,Negative,Surprise,Anticipation,0,0,0,0
24,,SNS-1,Twitter,#nowwelooktothefuture #Budget2018 #MaltaBudget18 #Malta #InlestughallFUTUR @JosephMuscat_JM,Positive,Very Positive,Happiness,Joy,0,0,0,0
25,,SNS-1,Twitter,NIŻVELAW IR-REAZZJONI TA’ DELIA GĦALL-BUDGET 2018,Neutral,Neutral,Surprise,Anticipation,0,0,0,1
26,,SNS-1,Twitter,http://timesofmalta.com : Budget 2018 at a glance,Neutral,Neutral,Surprise,Anticipation,0,0,0,0
27,,SNS-1,Twitter,Malta's Budget 2018: What you need to know http://fb.me/1jh3zoG5O ,Neutral,Neutral,Happiness,Anticipation,0,0,0,0
28,,SNS-1,Twitter,"RT Malta ""http://independent.com.mt : Live: Joseph Muscat and Edward Scicluna address media on Budget 2018  http://bit.ly/2hZ4REk """,Neutral,Neutral,Happiness,Anticipation,0,0,0,0
29,,SNS-1,Twitter,"MF Scicluna: in 2018  GDP: +7.6%, budget surplus: + 0.5% of GDP, public debt: 50.8% of GDP.https://twitter.com/TelevisionMalta/status/917437699094654976 …. Good news for #Malta",Positive,Positive,Happiness,Joy,0,0,0,0
30,,SNS-1,Twitter,Kburija li naghmel parti minn dan il-Gvern @MaltaGov #Budget2018 @PL_Malta #malta @JosephMuscat_JM,Positive,Very Positive,Happiness,Joy,0,0,0,1
31,,SNS-1,Twitter,http://independent.com.mt : Live: PN leader Adrian Delia's first reaction to Budget 2018,Neutral,Neutral,Surprise,Anticipation,0,0,0,0
32,,SNS-1,Twitter,"The Hon Prof Edward Scicluna presented Malta’s budget for 2018 on 9th of October. Follow the link to our overview of the budget prepared in collaboration with the Malta Chamber of Commerce, Enterprise and Industry",Neutral,Neutral,Happiness,Anticipation,0,0,0,0
33,,SNS-1,Twitter,💶 📔 #Malta Budget 2018 - Download our review now! http://bit.ly/MazarsBudget2018Review …,Neutral,Neutral,Surprise,Joy,0,0,0,0
34,,SNS-1,Twitter,Our summary of the key #fiscal and #economic points of Budget 2018 is available on our website. http://bit.ly/2y4Z2vx  #KPMG #MaltaBudget18,Neutral,Neutral,Happiness,Trust,0,0,0,0
35,,SNS-1,Twitter,No funds allocated for the improvement of mental health care in Malta. Then again - has any budget ever done that?  #budget2018,Negative,Very Negative,Sadness,Anticipation,0,1,0,0
36,,SNS-1,Twitter,Key points from the Malta Budget 2018 speech http://ow.ly/Bti030fLpAH  #MaltaBudget18 pic.twitter.com/6HKt8tXERe,Neutral,Neutral,Happiness,Anticipation,0,0,0,0
37,,SNS-1,Twitter,Gr8 gov budget2018  | time  4 Gov #Malta to tackle steroid blkmarket sale&abuse ? #sports #doping #health @chrisfearne @JosephMuscat_JM,Positive,Positive,Happiness,Trust,0,0,0,0
38,,SNS-1,Twitter,"As expected, very positive comments about yesterday's budget! @MaltaGov #Malta #Budget2018",Positive,Very Positive,Happiness,Joy,0,0,0,0
39,,SNS-1,Twitter,Budget 2018 - Economy: Government commits to make Malta centre of excellence for Blockchain,Positive,Positive,Happiness,Trust,0,0,0,0
40,,SNS-1,Twitter,"http://independent.com.mt : Budget 2018 - Environment: Harsher fines for littering, nationwide separation of waste",Positive,Positive,Surprise,Anticipation,0,0,0,0
41,,SNS-1,Twitter,Initial reactions from the Malta Chamber following the announcement of Budget 2018 #MaltaBudget18 http://www.maltachamber.org.mt/en/chamber-s-preliminary-reaction-to-budget …,Neutral,Neutral,Surprise,Surprise,0,0,0,0
42,,SNS-1,Twitter,Here are the measures from Budget 2018 that will benefit your business #MaltaBudget18,Positive,Positive,Happiness,Anticipation,0,0,0,0
43,,SNS-1,Twitter,"http://independent.com.mt : Budget 2018 - Education: SEC, MATSEC exams costs to be halved in 2018, completely removed …",Positive,Positive,Happiness,Joy,0,0,0,0
44,,SNS-1,Twitter,"Following the announcement of the Government's Budget for 2018 by the Minister of Finance, the Malta Chamber…",Neutral,Neutral,Happiness,Anticipation,0,0,0,0
45,,SNS-1,Twitter,"http://independent.com.mt : Budget 2018: New health centres, increase in free IVF services",Positive,Positive,Happiness,Joy,0,0,0,0
46,,SNS-1,Twitter,Malta Government Budget 2018 - highlights  https://goo.gl/MpFdxh ,Neutral,Neutral,Happiness,Anticipation,0,0,0,0
47,,SNS-1,Twitter,Please find key highlights of the Malta Budget 2018 - https://www.bdo.com.mt/en-gb/news/2017/malta-budget-2018-highlights … pic.twitter.com/F15FFwIcvR,Neutral,Neutral,Happiness,Trust,0,0,0,0
48,,SNS-1,Twitter,Budget 2018: “Kulħadd jinsab aħjar milli kien jumejn ilu”,Positive,Positive,Happiness,Joy,0,0,0,1
49,,SNS-1,Twitter,Malta budget 2018. Il punto di Sergio Passariello - https://goo.gl/BWnyvY  #maltabusiness  @JosephMuscat_JM @edward_scicluna,Positive,Positive,Happiness,Trust,0,0,0,0
50,,SNS-1,Twitter,Budget 2018: #Highlights and #Opportunities can be accessed here - https://lnkd.in/eQxeM7G  #MaltaBudget18 #KPMG,Positive,Positive,Happiness,Trust,0,0,0,0
51,,SNS-2,Facebook,#Maltabudget2018 Highlights by Ecovis Malta,Neutral,Neutral,Happiness,Anticipation,0,0,0,0
52,,SNS-2,Facebook,"Following the Malta Budget speech, download our pdf document here: http://bit.ly/2ycTn67 Malta Budget 2018 | KSi Malta",Neutral,Neutral,Surprise,Anticipation,0,0,0,0
53,,SNS-2,Facebook,No time to take in the entire #MaltaBudget2018 speech? Have a read of our one-line summaries instead.,Neutral,Neutral,Surprise,Trust,0,0,0,0
54,,SNS-2,Facebook,Read through the salient points of the 2018Malta Budget here #budget #maltabudget #maltabudget2018 Malta2018Budget Update presented by the Minister of Finance,Neutral,Neutral,Happiness,Anticipation,0,0,0,0
55,,SNS-2,Facebook,"Malta  🇲🇹 Budget 2018 concerning the property market. White paper for Rental market: All rental contracts to be registered with government to safe guard both parties. First time buyers will not pay stamp duty on the first €150,000, Home owners who sells their home and doesn’t own another property will benefit from €3,000 on stamp duty, Buyers who buy in a UCA will pay 2.5% stamp duty, A scheme for Ground rents which are temporary with the Joint office will be launched.",Positive,Very Positive,Happiness,Joy,0,0,0,0
56,,SNS-2,Facebook,"BDO Malta is delighted to bring you some of the key highlights that were presented to the House of Representatives by Hon. Prof. Edward Scicluna, Finance Minister on the 9th October 2017. Please click on the link below to access the publication. Malta Budget 2018 Highlights",Positive,Positive,Happiness,Anticipation,0,0,0,0
57,,SNS-2,Facebook,"Bhalissa nisimghu b'attenzjoni d-diskors tal-Budget 2018. Unbelievable but true, a budget without taxes! #MaltaBudget2018",Positive,Very Positive,Happiness,Joy,0,0,0,1
58,,SNS-2,Facebook,A new agency to be called Ambjent Malta will take over from the Parks Department. #MaltaBudget2018.  Littering fines to be increased and waste separation extended nationwide,Positive,Very Positive,Happiness,Anticipation,0,0,0,0
59,,SNS-2,Facebook,A budget with no increase in taxes and prices. A budget that does not look back and instead looks to the future with optimism. Now that's a new way of doing things. #MaltaBudget2018 | Partit Laburista | Joseph Muscat,Positive,Very Positive,Happiness,Trust,0,1,0,0
60,,SNS-2,Facebook,Malta Budget 2018 - follow our live feed this evening,Neutral,Neutral,Surprise,Anticipation,0,0,0,0
61,,SNS-2,Facebook,"Malta Budget 2018 - General overview; In the Budget speech for 2018, Finance Minister Prof. Edward Scicluna announced various fiscal measures and social and environmentally friendly incentives. These include an extension of the MicroInvest Tax Credit (both in terms of the quantum of the credit awarded and the eligibility of such scheme), tax credits for students following certain post-graduate courses, fiscal benefits to pensioners and other measures addressed to second-time property owners. These were complemented by other non-fiscal measures such as grants for environment friendly modes of transport and various initiatives related to the Blockchain technology. For further information about the principal measures to be introduced kindly follow the link below: http://dfkmalta.com/…/uploa…/2017/10/Malta-Budget-2018-1.pdf

",Positive,Positive,Happiness,Anticipation,0,0,0,0
62,,SNS-2,Facebook,Free school transport as from Oct 2018#maltabudget2018,Positive,Positive,Surprise,Surprise,0,0,0,0
63,,SNS-2,Facebook,"Malta 🇲🇹 Budget 2018 concerning the property market. White paper for Rental market: All rental contracts to be registered with government to safe guard both parties. First time buyers will not pay stamp duty on the first €150,000, Home owners who sells their home and doesn’t own another property will benefit from €3,000 on stamp duty, Buyers who buy in a UCA will pay 2.5% stamp duty, A scheme for Ground rents which are temporary with the Joint office will be launched.",Positive,Positive,Happiness,Joy,0,1,0,0
64,,SNS-2,Facebook,Key points from the Malta Budget 2018 speech http://ow.ly/Bti030fLpAH #MaltaBudget18,Neutral,Neutral,Happiness,Anticipation,0,0,0,0
65,,SNS-2,Facebook,Here is a quick recap of what was said last night in The 2018 Budget discussion  💰 http://islandproperties.com.mt/malta-budget-2018-at-a-glance/,Neutral,Neutral,Happiness,Anticipation,0,0,0,0
66,,SNS-2,Facebook,"This evening’s budget deliver Budget 2018 tonight is expected to present a financial plan that will cater for a surplus in public finances for the first time in 36 years. Buoyed by economic growth that has outstripped the euro zone average, the budget is expected to emphasise spending on improving the country’s transport and waste infrastructure. Stay tuned to find out more. #maltabudget2018",Positive,Very Positive,Happiness,Anticipation,0,0,0,0
67,,SNS-2,Facebook,Tallinja Card b'xejn għal dawk bejn 16 u 20 sena. #maltabudget2018,Positive,Positive,Happiness,Joy,0,0,0,1
68,,SNS-2,Facebook,Message from our PM. #alwayspositive #maltabudget2018,Positive,Positive,Happiness,Joy,0,0,0,0
69,,SNS-2,Facebook,"30% basic pay refund per job created in #Gozo, up to €6,000.#MaltaBudget2018",Positive,Positive,Happiness,Joy,0,0,0,0
70,,SNS-2,Facebook,Nexia BT's Malta Budget 2018 Updates. https://www.nexiabt.com/en/malta-budget-2018/,Neutral,Neutral,Happiness,Anticipation,0,0,0,0
71,,SNS-2,Facebook,Zarmar tal-impjant tal-HFO f'Delimara. You will Not be Missed. #MaltaBudget2018,Neutral,Neutral,Happiness,Anticipation,0,1,0,1
72,,SNS-2,Facebook,"We have captured the highlights of the Malta Budget 2018 which was announced by Hon Edward Scicluna on Monday 9 October. Read the report here https://www.nexiabt.com/en/news/malta-budget-2018 

",Neutral,Neutral,Happiness,Anticipation,0,0,0,0
73,,SNS-2,Facebook,"Pensioners get a helping hand, with the Finance Minister also saying most workers can expect a cheque in the post. #MaltaBudget2018",Positive,Positive,Happiness,Trust,0,0,0,0
74,,SNS-2,Facebook,"Workers earning less than €60,000 will receive first tax refund by cheque, workers to get 1 extra day of vacation leave next year, COLA increase of €1.75/week for all workers & pensioners (students will benefit too), pensions increase for the third year in a row all 90,000 pensioners to benefit from €2 increase, pensions under €13,200 will be exempt from income tax, first ever budget with no tax increases ... In the past we used to dread this day because taxes, fees, duties, etc. were increased. Today we look forward to this day to see what benefits will be distributed. #MaltaBudget2018",Positive,Positive,Happiness,Joy,0,0,0,0
75,,SNS-2,Facebook,"#MaltaBudget2018 - A grant of up to €400 in respect of purchases of #motorbikes, #scooters and electric assisted bikes. Should you need a #motor insurance quote, let me know!",Positive,Positive,Happiness,Joy,0,0,0,0
76,,SNS-2,Facebook,"€10,000 rimbors ta' spejjeż għal adozzjoni ta' tfal minn barra l-pajjiż €10,000 reimbursement of the costs related to adoption of children from abroad #maltabudget2018",Neutral,Neutral,Happiness,Trust,0,0,0,1
77,,SNS-2,Facebook,Baġit 2018 - Inqas Taxxi #inqastaxxi #maltabudget2018,Positive,Positive,Happiness,Joy,0,0,0,1
78,,SNS-2,Facebook,"Part of the Rabat road from Mrieħel to Attard will also be widened, #MaltaBudget2018 has revealed.",Positive,Positive,Surprise,Anticipation,0,0,0,0
79,,N-1,Times of Malta,Great BUDGET . Even cigarettes were not touched . Great work by Dr. Muscat and his Team . Profs. Edward Scicluna / Minister is an expert on Accounts .,Positive,Very Positive,Happiness,Trust,0,0,0,0
80,79,N-1,Times of Malta,"I haven't exactly scanned the budget throughout, but how on Earth do you make out that not imposing higher prices on something as toxic as cigarettes is a positive?! If anything he should have suggested a program to help people quit smoking!",Negative,Negative,Disgust,Disgust,0,1,0,0
81,80,N-1,Times of Malta,There’s already smoking cessation programs for people who want to quit smoking but I agree with you that cigarettes should be taxed more,Neutral,Neutral,Surprise,Anticipation,0,0,0,0
82,81,N-1,Times of Malta,"So should alcohol and fuel for private vehicles. If raising the tax on cigarettes would reduce the danger to health, doing the same for alcohol would reduce the number of accidents and higher fuel costs would reduce pollution due to a smaller number of vehicles on our roads... no? Unfortunately for idealists, Governments also need to be practical.",Negative,Negative,Sadness,Sadness,0,0,0,0
83,82,N-1,Times of Malta,"Practical? You should say that in a third world country, and not in a supposed European state.",Negative,Very Negative,Anger,Anger,0,0,0,0
84,82,N-1,Times of Malta,Well said.,Positive,Positive,Happiness,Trust,0,0,0,0
85,80,N-1,Times of Malta,"Though am a smoker, I fully agree with you.",Positive,Positive,Happiness,Trust,0,0,0,0
86,80,N-1,Times of Malta,Everything the PL does is positive for him ..so don't be amazed,Negative,Negative,Disgust,Disgust,1,0,1,0
87,86,N-1,Times of Malta,Everything the PL does is negative for your like.,Negative,Negative,Anger,Anger,0,0,1,0
88,86,N-1,Times of Malta,fact by 85%,Neutral,Neutral,Disgust,Sadness,0,0,1,0
89,80,N-1,Times of Malta,"People will still smoke, regardless. Imposing higher prices will not stop people from smoking. As far as I know, there are programs which help people quit smoking.",Neutral,Neutral,Fear,Anticipation,0,1,0,0
90,89,N-1,Times of Malta,"Higher prices will have little or no impact on addicted smokers, may encourage non-addicted smokers to give up and deter non-smokers from taking up the practice.",Positive,Positive,Surprise,Anticipation,0,0,1,0
91,90,N-1,Times of Malta,higher prices encourage contraband,Negative,Negative,Fear,Anticipation,0,0,1,0
92,91,N-1,Times of Malta,So we should reduce the price of fuel.,Neutral,Neutral,Disgust,Anticipation,1,0,1,0
93,91,N-1,Times of Malta,"How's the Ferrari black market going :) ? Of course they do, you're 1000% correct. Still contraband is illegal, so they do so at their own risk.",Negative,Negative,Anger,Anger,0,0,1,0
94,91,N-1,Times of Malta,That is probably true. A comprehensive anti-tobacco policy would include strong border-control measures. In our case that would mean making sure Customs and police are better equipped in all ways.,Positive,Positive,Happiness,Anticipation,0,0,1,0
95,89,N-1,Times of Malta,Very true but high prices discourage new smokers.,Positive,Positive,Surprise,Anticipation,0,0,1,0
96,95,N-1,Times of Malta,Is this what you used to write when PN was in government and increased cigarette prices?,Negative,Negative,Disgust,Disgust,1,0,1,0
97,89,N-1,Times of Malta,"This is not correct. High taxes/prices has reduced the percentage of people smoking in Australia, drastically. In fact, price is the biggest determinant, even more effective than education campaigns.",Positive,Positive,Surprise,Anticipation,0,1,1,0
98,97,N-1,Times of Malta,"higher prices encourage contraband, not discourage smokers!",Negative,Negative,Anger,Anticipation,0,1,1,0
99,98,N-1,Times of Malta,You need to do some research. WRONG.,Negative,Negative,Anger,Anger,0,1,1,0
100,99,N-1,Times of Malta,You will never anticipate what an addict will do to accomodate his adiction,Negative,Negative,Fear,Anticipation,0,0,1,0
101,97,N-1,Times of Malta,"Yes, it has and the illegal tobacco trade has increased ten fold. In fact customers can into shops and ask for the contraband smokes and if the shop doesn't have them then the customer looks else where.",Negative,Negative,Surprise,Anticipation,0,0,1,0
102,101,N-1,Times of Malta,The most important thing is the decrease in smokers as a percentage of the population. High tobacco taxes are successful and contribute to the high costs of health care that are increaed by smokers.,Positive,Positive,Surprise,Anticipation,0,0,1,0
103,102,N-1,Times of Malta,"Yes, They are very successful are boosting the free black market. I'm from Australia I've seen with my own eyes high tobacco prices do. By that rationale then smokers should be at the front of the cue for surgery over non smokers because the payed more into the system then non smokers? If you are concerned with the cost of health case get rid of public health care, allow anyone in the industry to compete in the free private market place, pass the tax savings on via tax cuts and let everyone take care of themselves. A person's body is their property, just because the state forces people to pay for a service they had no choice in paying for that does not mean the individual becomes the property of the state with the state dictating what then can do to their own bodies.",Negative,Negative,Fear,Fear,0,0,1,0
104,80,N-1,Times of Malta,"You can't explain anything to a red blinker. Even if taxes have been increased, people like him will be in full praise.",Negative,Very Negative,Disgust,Disgust,0,0,1,0
105,80,N-1,Times of Malta,(deleted),,,,,,,,
106,105,N-1,Times of Malta,clueless.,Negative,Very Negative,Disgust,Disgust,0,0,1,0
107,80,N-1,Times of Malta,"Having quit myself, I honestly think it's a no brainer for those who need and choose to quit, but it can be quite painful on those who are forced due to financial reasons - at some point heavily taxing might make sense, but to just outright do so would be a bad idea. However I agree that something along the lines of assistance should be encouraged.",Positive,Positive,Surprise,Trust,0,0,0,0
108,80,N-1,Times of Malta,Because by taxing you do not achieve anything! It is just an excuse for government to profit from it. In fact it is governement that makes the money from cigarettes not the manufacturer or the importer!,Negative,Negative,Anger,Anger,0,0,0,0
109,80,N-1,Times of Malta,You can't keep rising prices of cigarettes ad infinitum. People who are determined to keep smoking will keep smoking even if this lessens their income. And increases in price beyond a certain point only increases contraband of such goods from unscrupulous merchants who see an opportunity for big untaxed profits.,Neutral,Neutral,Fear,Anticipation,0,0,1,0
110,80,N-1,Times of Malta,There are free programs to give up smoking,Neutral,Neutral,Happiness,Anticipation,0,0,1,0
111,79,N-1,Times of Malta,"How about building a school a year, and improving state of roads NOW not in seven years.",Negative,Very Negative,Anger,Anger,0,1,0,0
112,111,N-1,Times of Malta,4 new schools will be built in 2 years.,Positive,Positive,Happiness,Anticipation,0,0,0,0
113,112,N-1,Times of Malta,"I'll believe it when I see it, after all NOTHING HAS HAPPENED WITH EDUCATION IN 5 YEARS.",Negative,Very Negative,Disgust,Disgust,0,0,0,0
114,112,N-1,Times of Malta,Will they be filled with ghost teachers or will we import some from third world countries?,Negative,Negative,Disgust,Disgust,1,0,1,0
115,114,N-1,Times of Malta,What's wrong with teachers from third world countries?,Neutral,Neutral,Surprise,Surprise,0,0,1,0
116,112,N-1,Times of Malta,And teachers????,Negative,Negative,Anger,Anger,0,0,0,0
117,111,N-1,Times of Malta,"Differentiate,The minister said ""No new taxes"" meaning that cigarrettes will possibly be touched.",Neutral,Neutral,Sadness,Sadness,0,0,0,0
118,111,N-1,Times of Malta,Is there a real need for 5 more new schools on this island? What do we do with the old ones? Would we want rather to end up with ghost buildings like we did with St. Luke's. I would choose refurbishment and modernising the old ones. New schools will take huge areas which we do not have. The state of the roads cannot ever be fix now. Also the money has to be made. To find a 100 million euros a year just for roads alone is no easy task.,Neutral,Neutral,Surprise,Anticipation,0,0,0,0
119,111,N-1,Times of Malta,The state of the roads is improving literally on a daily basis!,Positive,Very Positive,Happiness,Surprise,0,0,0,0
120,119,N-1,Times of Malta,"Yes, improving in increased traffic jams.",Negative,Negative,Disgust,Disgust,1,0,0,0
121,120,N-1,Times of Malta,"There are long-term and short-term solutions to every problem. For years we've been taking the short-term solutions and suffering the repercussions a few years later. So I'm glad that for once we're approaching the traffic situation by taking into consideration the long-term effects and I understand that for this to happen, we have to go through a tough phase.",Positive,Positive,Happiness,Joy,0,0,0,0
122,121,N-1,Times of Malta,"You're so optimistic about the traffic problem, but the main problem is that we are over-populated for the present transport infrastructure. I for one can't see any solution to this problem, since the travelling distances are so short. We only use them if we have an underground station in every town or village, complimented with buses going around each station. But remember to construct such a network costs billions upon billions, and takes decades to be constructed, apart from the fact that the cost will never make up for the return on investment.",Neutral,Neutral,Fear,Anticipation,0,0,1,0
123,122,N-1,Times of Malta,"Yes, and I agree with you all the way. However, I believe that once the roads are at the desired standard and the public transport service is improved, people would have no issue in paying higher road licences or else use public transport. The only viable alternative I can imagine right now to what I believe is the right way is raising the road license immediately, and that would cause a nationwide outrage. The only viable alternative I can imagine right now to what I believe is the right way is raising the road license immediately, and that would cause a nationwide outrage. ",Negative,Negative,Surprise,Anticipation,0,0,1,0
124,123,N-1,Times of Malta,"People will still use their car at any cost, irrespective of the price of the road license, even if they stay hungry.",Neutral,Neutral,Sadness,Anticipation,0,0,0,0
125,111,N-1,Times of Malta,"Why build new schools though? If I'm not mistaken, population growth has slowed down drastically and we have an ageing population. It makes more sense to modernise and embellish existing schools and utilise existing resources instead of wasting more land to build new ones",Negative,Negative,Anger,Anticipation,0,0,0,0
126,125,N-1,Times of Malta,"I think we are living on different planets, as the population has nearly doubled in my lifetime.",Neutral,Neutral,Anger,Surprise,1,0,1,0
127,126,N-1,Times of Malta,Ps you have to take into consideration the fact that people are living much longer overall (increased life expectancy). Hence I said ageing population...,Neutral,Neutral,Surprise,Anticipation,0,0,1,0
128,111,N-1,Times of Malta,<PERSON_ENTITY> those are difficult goals to reach and only a PN government can reach them.,Negative,Negative,Disgust,Disgust,1,0,0,0
129,111,N-1,Times of Malta,Issa nhabbtu il-bakketta magika u t-toroq kollha jsiru issa! Veru ma tistghux issibu x'tikkritikaw.,Neutral,Neutral,Disgust,Disgust,1,0,0,1
130,129,N-1,Times of Malta,Wara hames snin ghadkhom ma ghamiltux Triq wahda jew skola.,Negative,Very Negative,Disgust,Disgust,0,0,0,1
131,130,N-1,Times of Malta,Mela veru ghandek ghamad quddiem ghajnejk. Kappara junction u t-triq tal-kosta x'inhuma mela? Biex ma nsemmux hafna toroq li qed jigu rrangati mill-babilonji li hallejtuhom fihom.,Positive,Positive,Anger,Anger,0,0,0,1
132,131,N-1,Times of Malta,Kemm ma tafhomx laffarjiet. Il pn gab il fondi ghall coast road u il kappara. Inthom ma gibtu XEJN.,Negative,Negative,Anger,Anger,0,0,1,1
133,132,N-1,Times of Malta,Ilkom hames snin. L-anqas skola wahda. Morru organizzaw it taffiku u serhu il fqir ja korrotti.,Negative,Very Negative,Disgust,Disgust,0,0,0,1
134,79,N-1,Times of Malta,"Accounts? The term is mainly used for O Levels. Bet you are refering to the accounts of remote Club in the middle of a desert? After all you are right, a Budget having no long-term planning or measures. Just 'ftit cejca' biex jifirhu s-segwaci Laburisti.",Negative,Very Negative,Disgust,Disgust,1,0,1,0
135,134,N-1,Times of Malta,"ta 1.75 ewro zieda u mil-llum tibda tara l-prezzijiet ta l-ikel jgholew bhas-soltu. So, min ma jistax ilahhaq sa l-ahhar tax-xahar baqa fejn kien. inutli naghtu z-zieda u naghmlux kontrol fuq iz-zieda tal-prezzijiet.",Negative,Negative,Anger,Anticipation,0,0,0,1
136,133,N-1,Times of Malta,"kontrol fuq kollox hemm bzonn jsir,hobza ta 400 grms,suppost tizhen 800 grms w tiswa listess daqs ta 800 grms,wahda mil hafna affarijiet li hemm bzonn jorhsu",Neutral,Neutral,Sadness,Sadness,0,0,0,1
137,134,N-1,Times of Malta,Mela s-sinjuri ħa jifirħu b'xi budget? X'differenza reali ħa jagħmilhom f'ħajjithom? Issa li tnaqqsitilhom it-taxxa drastikament mhux ħa jinteressahom iktar!,Negative,Negative,Sadness,Sadness,1,0,0,1
138,134,N-1,Times of Malta,Ahna nifirhu waqt li int tibqa indannat.,Negative,Very Negative,Anger,Anger,0,0,1,1
139,138,N-1,Times of Malta,Ifrah bic-cejca mela.,Negative,Very Negative,Disgust,Disgust,1,0,1,1
140,79,N-1,Times of Malta,"He didn't touch much of anything really, either good or bad, if you ask me.",Neutral,Neutral,Surprise,Surprise,0,1,0,0
